popularity,vote_count,id,genre_ids,title,vote_average,release_date
9.017,164,8198,"[10749, 53]",The Quiet American,6.7,2002-11-22
9.016,52,548859,"[27, 9648]",Realms,4.1,2017-12-21
9.016,66,293633,"[18, 53]",Catch Hell,5.2,2014-10-10
9.015,46,390512,[18],The Phenom,5.5,2016-06-24
9.013,76,369032,"[28, 80, 27, 53]",Carnage Park,5.5,2016-07-01
9.008,37,376004,"[53, 80, 18]",Adulterers,4.9,2016-01-05
9.002,62,24363,"[35, 18]",House of D,6.4,2004-05-07
9.001,34,456529,"[27, 9648, 53]",Jacob's Ladder,5.2,2019-08-23
9.0,144,14148,"[80, 18, 9648, 53]",The Flock,5.7,2007-08-04
8.998,141,243526,"[18, 53]",Faults,6.7,2014-03-06
8.997,36,619263,[878],The Wave,5.5,2019-09-21
8.996,41,414977,"[35, 14, 10749]",Sam,5.3,2015-04-21
8.995,50,8460,"[28, 35, 53]",The Skulls II,5.0,2002-04-09
8.994,138,7870,"[18, 10749]",Down in the Valley,5.9,2005-05-13
8.993,87,9911,"[28, 80, 53]",Outlaw,5.3,2007-03-09
8.992,39,47911,"[35, 10402]","Bo Burnham: Words, Words, Words",7.2,2010-10-16
8.992,79,16071,"[18, 10749]",The Cake Eaters,5.6,2007-04-29
8.991,141,510498,[18],High Flying Bird,5.7,2019-01-27
8.991,34,480626,"[10749, 10770]",The Christmas Cottage,6.4,2017-12-09
8.991,34,69217,"[18, 53]",Black Cadillac,6.1,2003-01-01
8.991,260,11194,"[28, 12, 99]",Touching the Void,7.6,2003-09-05
8.988,57,13369,"[28, 80, 18]",Empire,6.2,2002-12-06
8.987,31,68878,"[28, 27]",Zombie Diaries 2,4.3,2011-06-24
8.984,53,14686,[27],Midnight Movie,5.1,2008-10-24
8.982,43,15426,"[28, 12, 27, 878, 53]",Unearthed,4.1,2007-01-01
8.982,238,14456,[27],Shrooms,5.0,2007-08-16
8.981,222,35885,[35],Amore 14,3.7,2009-10-30
8.981,36,22559,[99],Aliens of the Deep,6.2,2005-01-28
8.978,33,231385,"[35, 10749, 14, 10770]",Holly's Holiday,5.6,2012-12-08
8.978,683,24480,"[16, 10751, 35]",Partly Cloudy,7.8,2009-05-28
8.977,77,481192,[27],Talon Falls,6.3,2017-10-13
8.977,55,70925,[18],Oranges and Sunshine,7.1,2010-10-08
8.977,86,26108,"[35, 10749]",Stage Beauty,6.8,2004-09-03
8.977,203,9310,"[35, 18, 10751]",American Dreamz,5.0,2006-03-04
8.976,68,305642,[18],Ithaca,5.3,2015-10-29
8.976,94,80188,"[28, 80, 18, 53]",Boy Wonder,6.5,2010-08-11
8.972,66,381064,"[18, 53]",American Fable,6.2,2017-02-17
8.972,75,14057,"[35, 18, 10749]",Trust the Man,5.4,2005-09-01
8.971,59,359151,"[18, 10749]",Tanna,7.1,2015-10-16
8.971,52,75720,"[99, 10751]",One Life,7.5,2011-07-19
8.97,38,270005,"[80, 18, 53]",By the Gun,4.6,2014-09-28
8.969,89,205891,"[18, 27, 53]",The Demented,3.9,2013-07-30
